id,claim_or_use,source_title,author,publisher,date,tier,url_or_reference,exact_location,access_date,rights_status,notes
S01,"El pensamiento de Ohno; la cifra de productividad 9:1 (1947); ""producir solo lo necesario""; el sistema supermercado (1952-53); el kanban; el círculo de tiza","Toyota Production System: Beyond Large-Scale Production","Taiichi Ohno","Productivity Press (ed. inglesa; orig. japonés Diamond Inc.)","1978 (JP) / 1988 (EN)","A","ISBN 0-915299-14-3","cap. 1-2 y prefacio","2026-09-07","con derechos — cita textual breve permitida","Fuente primaria PERO es la versión de Ohno: hagiografía potencial, contrastar cada afirmación causal"
S02,"Comparación producción en masa vs. lean; el término ""lean production""; escala del hallazgo; Toyota = mitad de GM en 1990","The Machine That Changed the World","James P. Womack, Daniel T. Jones, Daniel Roos","Rawson Associates / Macmillan","1990","B","https://en.wikipedia.org/wiki/The_Machine_That_Changed_the_World_(book)","estudio IMVP del MIT, 5 años, 14 países","2026-09-07","con derechos — cita breve","Académico. Acuñó ""lean""; algo triunfalista sobre Toyota, contrastar con críticas posteriores"
S03,"Evolución real del TPS (pull desde 1948, gradual ""shop by shop"" 15+ años); JIT atribuido por Ohno a Kiichirō (1937); el ""método supermercado"" leído en un periódico japonés tras la guerra; Ohno en el comité ejecutivo del sindicato de Toyota feb-1947→mar-1948; ""Ohno no reorganizó el sistema él solo""; recuperación de 1950 = préstamos de banca + despidos del 49-50 + pedidos de la guerra de Corea ($23 M)","The Japanese Automobile Industry: Technology and Management at Nissan and Toyota","Michael A. Cusumano","Council on East Asian Studies, Harvard University (dist. Harvard University Press)","1985","B","ISBN 0-674-47256-X ; Harvard East Asian Monographs 122","cap. ""The Toyota Production System"", pp. ~265–279; Tabla 72 ""The Career of Ono Taiichi"" p. 269; Introduction pp. ~19–21 (recuperación de 1950)","2026-09-07","con derechos — copia local en research/_books/cusumano-1985.md (markitdown, NO versionada)","OBTENIDA. Historiografía académica independiente. Nota: la OCR escribe ""Ono"" sin la h. Verificación humana de las afirmaciones de carga pendiente (brain/01 §9)."
S04,"Crisis financiera 1949-50; huelga desde 11 abr 1950; 1.600 retiros voluntarios anunciados el 22 abr 1950; plantilla de 8.000 a 6.000; caída de producción 70% abr-may","75 Years of Toyota — Settlement of Labor Dispute / Chapter 2 Section 6","Toyota Motor Corporation","Toyota Motor Corporation (web oficial de historia corporativa)","2012","A / C","https://www.toyota-global.com/company/history_of_toyota/75years/","Part 1, Ch. 2, Sec. 6, Item 6; Organizational Changes","2026-09-07","con derechos — es material publicado por la empresa para divulgar su historia","Registro corporativo primario para fechas/cifras (tratar como A); para intención/motivación es la versión de la empresa (tratar como C, contrastar)"
S05,"Kiichiro Toyoda dimite el 5 jun 1950 asumiendo la responsabilidad del despido; dimisión colectiva de directivos el 18 jul 1950; Taizo Ishida nuevo presidente","75 Years of Toyota — Resignation of President Kiichiro Toyoda","Toyota Motor Corporation","Toyota Motor Corporation","2012","A / C","https://www.toyota-global.com/company/history_of_toyota/75years/text/taking_on_the_automotive_business/chapter2/section6/item6_d.html","Part 1, Ch. 2, Sec. 6, Item 6","2026-09-07","con derechos","Kiichiro muere en 1952 sin volver a dirigir la empresa — verificar en S03/S11"
S06,"Viaje de Eiji Toyoda a Ford 20 jul-8 sep 1950; plantas visitadas (River Rouge, Highland Park...); Ford 8.000 uds/día vs Toyota 40/día; ""un guijarro frente a una roca""; conclusión: la brecha es de escala, no de tecnología; sistema de sugerencias (may 1951, copiado de Ford)","75 Years of Toyota — Training at Ford Motor Company","Toyota Motor Corporation","Toyota Motor Corporation","2012","A / C","https://www.toyota-global.com/company/history_of_toyota/75years/text/taking_on_the_automotive_business/chapter2/section7/item1.html","Part 1, Ch. 2, Sec. 7, Item 1","2026-09-07","con derechos","Cifra 8.000 vs 40 = comparación de output diario (1950); distinta del 9:1 por trabajador de Ohno (1947, S01)"
S07,"El mito del supermercado: Ohno ve fotos de un colega en 1951-52; Toyota implanta el ""sistema supermercado"" en 1952-53; Ohno visita un supermercado en persona en 1956 (""por fin""); la leyenda de Piggly Wiggly no tiene respaldo primario","Which Supermarket: Reviewing the Origins of Toyota's Pull System","Art Smalley","artsmalley.com","s.f. (consultado 2026)","B","https://artsmalley.com/articles/which-supermarket-reviewing-the-origins-of-toyota-s-pull-system","artículo completo; cita a Ohno como fuente primaria","2026-09-07","con derechos — cita breve","Analista/practicante que cita el testimonio de Ohno; usar para desmontar el ""momento eureka"""
S08,"Datos de contexto y cronología general del TPS; fechas de Ohno (1912-1990); traslado a Toyota Motor 1943; jefe de taller 1949","Toyota Production System / Taiichi Ohno (artículos)","Wikipedia contributors","Wikipedia","2026","C","https://en.wikipedia.org/wiki/Toyota_Production_System ; https://en.wikipedia.org/wiki/Taiichi_Ohno","—","2026-09-07","CC BY-SA (texto); imágenes: verificar por archivo","SOLO generación de pistas — nunca soporte único de una afirmación"
S09,"Perfil de Ohno; su papel como ""padre del TPS""","Ohno Taiichi (Japanese industrialist)","Encyclopaedia Britannica","Britannica","2026","C","https://www.britannica.com/money/Ohno-Taiichi","—","2026-09-07","con derechos","Lead-gen"
S10,"Contexto de la posguerra: bombardeos, caos económico, control de inflación (línea Dodge 1949), casi quiebra","Toyota Survives War and Aftermath","Strategos Inc.","strategosinc.com","s.f.","C","https://strategosinc.com/RESOURCES/04-Lean_History/toyota_crises.htm","—","2026-09-07","con derechos","Lead-gen; contrastar fechas con S03/S04"
S11,"Obituario de Eiji Toyoda (n. 1913, m. 2013); su papel en el viaje a Ford y en TPS; contexto biográfico","Eiji Toyoda, Toyota Chief and Industrial Pioneer, Dies at 100","(agencia) / KQED / NYT","KQED News / The New York Times","2013-09","B","https://www.kqed.org/news/111515/eiji-toyoda-toyota-chief-and-industrial-pioneer-dies-at-100","obituario","2026-09-07","con derechos — cita breve","Prensa de referencia; obtener también el obituario NYT original"
S12,"El ""círculo de Ohno"" (testimonio de Teruyuki Minoura a Liker: dibujar un círculo en la planta y quedarse de pie 8 h observando un proceso, sin pistas); Ohno y su equipo ""no lo hicieron solos""; el pull inspirado en los supermercados de EE.UU.; Deming y ""el siguiente proceso es el cliente""; 1973: Toyota en números rojos menos tiempo → el gobierno japonés lanza seminarios de TPS","The Toyota Way: 14 Management Principles from the World's Greatest Manufacturer","Jeffrey K. Liker","McGraw-Hill","2004","B","ISBN 0-07-139231-9 ; 352 pp.","cap. ""How Toyota Became the World's Best Manufacturer""; cap. 18 (Principio 12, genchi genbutsu) — el círculo de Ohno p. ~226","2026-09-07","con derechos — extracto local en research/_books/liker-toyota-way.md (markitdown, NO versionado)","OBTENIDA (extracto: TOC + cap. de historia + cap. genchi genbutsu + conclusión). Verificación humana de la cita de Minoura pendiente."
S13,"Fotografía de dominio público de la cadena de montaje de Ford / Detroit años 1940-50 (para el contraste)","Farm Security Administration / Office of War Information Collection ; Detroit Publishing Co.","(varios fotógrafos del gobierno de EE.UU.)","Library of Congress Prints & Photographs","1940s","A","https://www.loc.gov/pictures/","por localizar signatura por imagen","2026-09-07","dominio público (obra del gobierno de EE.UU. / sin restricciones conocidas)","Ilustra el CONTRASTE (Detroit), no a Toyota"
S14,"Relato de Ohno en primera persona: la cifra 9:1 la OYÓ en 1937-38 (no la calculó); GHQ dijo 8:1 tras la guerra; el JIT era idea de Kiichirō ('lo oí de los veteranos del montaje'); el supermercado = diapositivas en color de un colega vuelto de EE.UU. en 1951-52; ""teníamos debilidad por las frases en inglés""; la imagen del luchador de sumo (un mes de trabajo en 10 días)","Workplace Management","Taiichi Ohno (trad. Andrew P. Dillon; pról. Norman Bodek)","Productivity Press (orig. japonés: Genba keiei, Japan Management Association, 1982)","1988 (EN) / 1982 (JP)","A (con sesgo)","ISBN 0-915299-19-4 ; LCCN 87-43173","cap. 17 ""Nine times the productivity"" pp. ~65–70; cap. 18 ""The supermarket system"" pp. ~71–74; cap. 19 ""Without Toyota there would be no kanban system""","2026-09-07","con derechos — copia local en research/_books/ohno-workplace-management.md (markitdown, NO versionada)","OBTENIDA. Segundo libro de Ohno (más reflexivo que S01). Fuente primaria PERO su versión. Corrige C10."
S15,"Literatura del cierre (registro práctico): la restricción no limita la creatividad, la habilita — al estrechar el espacio de búsqueda obliga a soluciones novedosas","Creativity from Constraints: The Psychology of Breakthrough","Patricia D. Stokes","Springer Publishing Company, Nueva York","2005","B","ISBN 0-8261-7845-6 (978-0-8261-7845-9)","el marco general del libro (cap. 1); algunos catálogos fechan la ed. en 2006 — confirmar contra el ejemplar","2026-09-07","con derechos — cita breve, se nombra la idea en general (brain/09 A6)","PENDIENTE de conseguir el texto. Libro de divulgación académica; psicóloga de la Barnard/Columbia. Emparejar con S16 (revisión revisada por pares)."
S16,"Revisión académica interdisciplinar: las restricciones pueden AUMENTAR la creatividad y la innovación (enfocan el esfuerzo y la búsqueda); relación en U invertida — algo de restricción supera a ninguna, demasiada la ahoga","Creativity and Innovation Under Constraints: A Cross-Disciplinary Integrative Review","Oguz A. Acar; Murat Tarakci; Daan van Knippenberg","Journal of Management (SAGE)","2019 (online oct. 2018)","B","vol. 45, nº 1, pp. 96–121 ; DOI 10.1177/0149206318805832 ; PDF abierto en el repositorio de City, University of London","artículo completo (revisión)","2026-09-07","con derechos (hay versión de autor de acceso abierto)","OBTENIDA (acceso abierto). Es el ancla rigurosa del cierre; Stokes (S15) es la versión divulgativa."
